cpt_1,proc_type,procedure_group,Description
36558,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of tunneled centrally inserted central venous catheter, without subcutaneous port or pump; age 5 years or older"
36560,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port; younger than 5 years of age"
36582,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, complete, of a tunneled centrally inserted central venous access device, with subcutaneous port, through same venous access"
36583,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, complete, of a tunneled centrally inserted central venous access device, with subcutaneous pump, through same venous access"
36597,Cardiovascular,039-Other major cardiovascular procedures,Repositioning of previously placed central venous catheter under fluoroscopic guidance
36819,Cardiovascular,039-Other major cardiovascular procedures,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition"
36821,Cardiovascular,039-Other major cardiovascular procedures,"Arteriovenous anastomosis, open; direct, any site (eg, Cimino type) (separate procedure)"
36823,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of arterial and venous cannula(s) for isolated extracorporeal circulation including regional chemotherapy perfusion to an extremity, with or without hyperthermia, with removal of cannula(s) and repair of arteriotomy and venotomy sites"
36825,Cardiovascular,039-Other major cardiovascular procedures,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft
36830,Cardiovascular,039-Other major cardiovascular procedures,"Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); nonautogenous graft (eg, biological collagen, thermoplastic graft)"
36831,Cardiovascular,039-Other major cardiovascular procedures,"Thrombectomy, open, arteriovenous fistula without revision, autogenous or nonautogenous dialysis graft (separate procedure)"
36833,Cardiovascular,039-Other major cardiovascular procedures,"Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)"
36835,Cardiovascular,039-Other major cardiovascular procedures,Insertion of Thomas shunt (separate procedure)
36870,Cardiovascular,039-Other major cardiovascular procedures,NA
36905,Cardiovascular,039-Other major cardiovascular procedures,"Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis, dialysis circuit, any method, including all imaging and radiological supervision and interpretation, diagnostic angiography, fluoroscopic guidance, catheter placement(s), and intraprocedural pharmacological thrombolytic injection(s); with transluminal balloon angioplasty, peripheral dialysis segment, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty"
36907,Cardiovascular,039-Other major cardiovascular procedures,"Transluminal balloon angioplasty, central dialysis segment, performed through dialysis circuit, including all imaging and radiological supervision and interpretation required to perform the angioplasty (List separately in addition to code for primary procedure)"
37193,Cardiovascular,039-Other major cardiovascular procedures,"Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37197,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter retrieval, percutaneous, of intravascular foreign body (eg, fractured venous or arterial catheter), includes radiological supervision and interpretation, and imaging guidance (ultrasound or fluoroscopy), when performed"
37200,Cardiovascular,039-Other major cardiovascular procedures,Transcatheter biopsy
37207,Cardiovascular,039-Other major cardiovascular procedures,NA
37217,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter placement of intravascular stent(s), intrathoracic common carotid artery or innominate artery by retrograde treatment, open ipsilateral cervical carotid artery exposure, including angioplasty, when performed, and radiological supervision and interpretation"
37218,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter placement of intravascular stent(s), intrathoracic common carotid artery or innominate artery, open or percutaneous antegrade approach, including angioplasty, when performed, and radiological supervision and interpretation"
37220,Cardiovascular,039-Other major cardiovascular procedures,"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty"
37226,Cardiovascular,039-Other major cardiovascular procedures,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed"
37227,Cardiovascular,039-Other major cardiovascular procedures,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed"
37235,Cardiovascular,039-Other major cardiovascular procedures,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)"
37236,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s) for occlusive disease, cervical carotid, extracranial vertebral or intrathoracic carotid, intracranial, or coronary), open or percutaneous, including radiological supervision and interpretation and including all angioplasty within the same vessel, when performed; initial artery"
37239,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter placement of an intravascular stent(s), open or percutaneous, including radiological supervision and interpretation and including angioplasty within the same vessel, when performed; each additional vein (List separately in addition to code for primary procedure)"
37248,Cardiovascular,039-Other major cardiovascular procedures,"Transluminal balloon angioplasty (except dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same vein; initial vein"
37660,Cardiovascular,039-Other major cardiovascular procedures,Ligation of common iliac vein
37760,Cardiovascular,039-Other major cardiovascular procedures,"Ligation of perforator veins, subfascial, radical (Linton type), including skin graft, when performed, open,1 leg"
37799,Cardiovascular,039-Other major cardiovascular procedures,"Unlisted procedure, vascular surgery"
33947,Cardiovascular,039-Other major cardiovascular procedures,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-arterial"
33951,Cardiovascular,039-Other major cardiovascular procedures,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age (includes fluoroscopic guidance, when performed)"
33956,Cardiovascular,039-Other major cardiovascular procedures,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of central cannula(e) by sternotomy or thoracotomy, 6 years and older"
33958,Cardiovascular,039-Other major cardiovascular procedures,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), percutaneous, 6 years and older (includes fluoroscopic guidance, when performed)"
